"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 13, 2019","126,070","125,630","126,240","125,575","34.57K","-0.19%"
"Dec 12, 2019","126,310","126,350","126,490","126,230","1.31K","0.01%"
"Dec 11, 2019","126,300","126,285","126,355","126,055","25.83K","-0.02%"
"Dec 10, 2019","126,330","126,105","126,370","126,050","22.86K","0.25%"
"Dec 09, 2019","126,010","125,690","126,010","125,630","3.82K","0.07%"
"Dec 06, 2019","125,925","126,000","126,085","125,880","1.47K","-0.18%"
"Dec 05, 2019","126,150","126,030","126,300","125,905","6.74K","0.09%"
"Dec 04, 2019","126,035","125,350","126,115","125,200","40.57K","0.52%"
"Dec 03, 2019","125,380","125,900","125,900","125,380","3.05K","-0.41%"
"Dec 02, 2019","125,900","126,465","126,465","125,790","25.28K","-0.43%"
"Nov 29, 2019","126,440","126,095","126,440","126,015","5.58K","0.27%"
"Nov 28, 2019","126,095","125,950","126,150","125,935","5.00K","0.13%"
"Nov 27, 2019","125,935","125,625","126,015","125,625","3.62K","0.33%"
"Nov 26, 2019","125,520","125,345","125,530","125,220","5.79K","0.14%"
"Nov 25, 2019","125,345","125,680","125,680","125,345","1.40K","-0.31%"
"Nov 22, 2019","125,740","125,815","125,900","125,545","11.79K","-0.13%"
"Nov 21, 2019","125,905","125,885","126,230","125,815","3.17K","0.14%"
"Nov 20, 2019","125,735","125,540","125,805","125,455","8.53K","0.43%"
"Nov 19, 2019","125,200","124,775","125,325","124,775","10.11K","0.38%"
"Nov 18, 2019","124,730","124,700","124,740","124,530","7.98K","-0.01%"
"Nov 15, 2019","124,740","124,775","124,850","124,575","53.46K","0.01%"
"Nov 14, 2019","124,725","124,700","124,825","124,525","9.81K","0.18%"
"Nov 13, 2019","124,505","124,505","124,505","124,225","5.34K","0.23%"
"Nov 12, 2019","124,220","124,630","124,915","124,220","5.53K","-0.38%"
"Nov 11, 2019","124,700","124,550","124,700","124,005","18.61K","0.24%"
"Nov 08, 2019","124,400","123,620","124,400","123,365","45.76K","0.06%"
"Nov 07, 2019","124,325","124,495","124,495","124,155","9.74K","0.16%"
"Nov 06, 2019","124,125","124,045","124,140","123,740","13.28K","-0.03%"
"Nov 05, 2019","124,160","123,765","124,220","123,415","26.89K","-0.06%"
"Nov 04, 2019","124,230","124,650","124,955","124,090","18.13K","-0.70%"
"Nov 01, 2019","125,110","125,440","125,490","125,090","8.18K","0.00%"
"Oct 31, 2019","125,110","125,160","125,205","124,985","2.15K","0.26%"
"Oct 30, 2019","124,790","124,560","125,095","124,485","24.43K","0.18%"
"Oct 29, 2019","124,565","124,640","124,775","124,335","13.85K","-0.17%"
"Oct 28, 2019","124,775","125,615","125,615","124,775","31.35K","-0.81%"
"Oct 25, 2019","125,800","125,930","126,010","125,680","37.68K","-0.20%"
